1;A. R. II BARIRO;1
2;A.B. II BOROJO;1
3;A.R II CASIGUA;1
4;A.R. II BOCA DE AROA;1
5;A.R. II BOCA DE TOCUYO;1
6;A.R. II CAPADARE;1
7;A.R. II CAPATARIDA;1
8;A.R. II CHICHIRIVICHI;1
9;A.R. II MENE DE SAN LORENZO;1
10;A.R. II MIRIMIRE;1
11;A.R. II PALMA SOLA;1
12;A.R. II SAN FELIX;1
13;A.R. II SAN JUAN DE LOS CAYOS;1
14;A.R. II TOCUYO DE LA COSTA;1
15;A.R. II YARACAL;1
16;A.R. II ZAZARIDA;1
17;A.R.I DERRAMEDERO;1
18;A.R.I MIRABA;1
19;A.R.I. EL CARDON;1
20;A.R.I. EL RAMONAL;1
21;A.R.I. EL TURAL;1
22;A.R.I. GUAIBACOA;1
23;A.R.I. GUANABANO;1
24;A.R.I. LAS GUARABAS;1
25;A.R.I. MACANILLA;1
26;A.R.I. MAITIRUMA;1
27;A.R.I. MAPARARI;1
28;A.R.I. MATARUCA;1
29;A.R.I. SAN JUANCITO;1
30;A.R.I. SAN NICOLAS;1
31;A.R.I.. URUMACO;1
32;A.R.I.MONTAÑITA DE CUMAREBO;1
33;A.R.I.PIEDRA GRANDE;1
34;A.R.II ADAURE;1
35;A.R.II ADICORA;1
36;A.R.II BARAIVED;1
37;A.R.II BUENA VISTA;1
38;A.R.II CAUJARAO;1
39;A.R.II EL HATO;1
40;A.R.II JACURA;1
41;A.R.II JADACAQUIVA;1
42;A.R.II LAS CUMARAGUAS;1
43;A.R.II LAS DOS BOCAS;1
44;A.R.II LOS TAQUES;1
45;A.R.II MAQUIGUA;1
46;A.R.II MORUY;1
47;A.R.II PUEBLO NUEVO PARAGUANA;1
48;A.R.II PUNTA CARDON;1
49;A.R.II SABANETA;1
50;A.R.II SANTA ANA;1
51;A.R.II TACUATO;1
52;A.R.II TUCACAS;1
53;A.R.II VILLA MARINA;1
54;A.R.II ZAZARIDA;1
55;A.R.II. ARACUA;1
56;A.R.II. CABURE;1
57;A.R.II. EL CHARAL;1
58;A.R.II. LA CRUZ DE TARATARA;1
59;A.R.II. LA NEGRITA;1
60;A.R.II. LA PEÑA;1
61;A.R.II. LAS CALDERAS;1
62;A.R.II. MURUCUSA;1
63;A.R.II. PIRITU;1
64;A.R.II. PUEBLO NUEVO DE LA SIERRA;1
65;A.R.II. PURURECHE;1
66;A.R.II. RIO SECO;1
67;A.R.II. SAN JOSE DE LA COSTA;1
68;A.R.II. SANTA CRUZ DE BUCARAL;1
69;A.R.II. TOCOPERO;1
70;A.R.II.PEDREGAL;1
71;A.U.I ANDRES ELOY BLANCO;1
72;A.U.I BELLA VISTA;1
73;A.U.I LAS MARGARITAS;1
74;A.U.I LAS PIEDRAS;1
75;A.U.I. ACOPANE;1
76;A.U.I. AMPIES;1
77;A.U.I. FUNDACION DEL NIÑO;1
78;A.U.I. INDEPENDENCIA;1
79;A.U.I. LOS CLARITOS;1
80;A.U.I. OESTE;1
81;A.U.I. PANTANO ABAJO;1
82;A.U.I. PANTANO CENTRO;1
83;A.U.I. SAN BOSCO;1
84;A.U.I. ZUMURUCUARE;1
85;A.U.II CARIRUBANA;1
86;A.U.II CRUZ VERDE;1
87;A.U.II EZEQUIELZAMORA;1
88;A.U.II LA VELA;1
89;A.U.II LAS VELITAS;1
90;A.U.II SIMON BOLIVAR;1
91;A.U.II. SABANA LARGA;1
92;A.U.II.SAN JOSE;1
94;OFICINA DE BANCO DE SANGRE;1
95;OFICINA DE DIETETICA;1
96;OFICINA DE ENFERMERIA;1
97;OFICINA DE HIGIENE DE LOS ALIMENTOS SILOS 3 DABAJURO;1
98;OFICINA DE INTENDENCIA;1
99;OFICINA DE LA DIRECCION DE SILOS SILOS 5 TUCACAS;1
100;OFICINA DE LA DIRECCION DEL SILOS 1 CORO;1
101;OFICINA DE LA DIRECCION DEL SILOS 2 PUNTO FIJO;1
102;OFICINA DE LA DIRECCION DEL SILOS 6 SAN LUIS;1
103;OFICINA DE LA DIRECCION DEL SILOS SILOS 3 DABAJURO;1
104;OFICINA DE LABORATORIO;1
105;OFICINA DE MANTENIMIENTO;1
106;OFICINA DE MEDICINA;1
107;OFICINA DE PERSONAL;1
108;OFICINA DE PROMOCION SALUD;1
109;OFICINA DE RECURSOS HUMANO DE SILOS 2 PUNTO FIJO;1
110;OFICINA DE RECURSOS HUMANOS;1
111;OFICINA DE RECURSOS HUMANOS SILOS 5 TUCACAS;1
112;OFICINA DE RECURSOS HUMANOS SILOS 6 SAN LUIS;1
113;OFICINA DE SALUD MENTAL;1
114;OFICINA DE SERV DE FARMACIA;1
115;OFICINA DE SERV. MED. FIS. Y REHAB;1
116;OFICINA DE SERVICIO DE LABORATORIO;1
117;OFICINA DE SERVICIOS DE ODONTOLOGIA;1
118;OFICINA DEL DIRECTOR DEL HOSPITAL EMIGDIO RIOS;1
119;OFICINA DEL JEFE DEL HOSP. CARLOS DIEZ DEL CIERVO.;1
120;OFICINA DEL JEFE DEL HOSPITAL DR. JOSE ENRIQUE ZAVALA;1
121;OFICINA DEL JEFE DEL HOSPITAL DR. ROMULO FARIAS DE MENE MAUR;1
122;OFICINA DEL JEFE DEL HOSPITAL FRANCISCO BUSTAMANTE;1
123;OFICINA DEL JEFE DEL HOSPITAL SAN LUIS;1
124;OFICINA DIRECCION GENERAL;1
125;OFICINA DIRECTOR HOSP. JOSE MARIA ESPINOZA;1
126;OFICINA UNIDAD DE DIALISIS;1
127;OFICONA DE BANCO DE SANGRE;1
128;SECCION DE CONTABILIDAD;1
129;UNIDAD CARDIOVASCULAR;1
